fips_code,state_id,state_name,year,niaaa_pop_21_plus,census_total_pop,census_percent_pop_21_plus,census_percent_pop_18_24,census_percent_pop_25_34,census_percent_pop_35_44,census_percent_pop_45_54,census_percent_pop_55_64,census_percent_pop_65_plus,census_percent_pop_male,census_percent_pop_female,census_percent_pop_married,census_percent_pop_widowed,census_percent_pop_divorced,census_percent_pop_separated,census_percent_pop_never_married,ed_census_percent_pop_less_hs,ed_census_percent_pop_only_hs,ed_census_percent_pop_some_college_or_assoc,ed_percent_pop_college_grad_only,ed_percent_pop_grad_prof_degree,census_percent_employed,census_percent_unemployed,census_percent_armed_forces_employment,census_percent_not_in_labor_force,brfss_drinking_culture_surrogate_metric_percent_binge,tpc_state_beer_tax_rates_dollar_gal,bea_personal_income_dollars,bea_disp_inc_dollars,bea_percapita_personal_income_dollars,bea_percapita_disp_inc_dollars,census_median_household_inc_dollars,niaaa_total_beer_vol_consumed_gallons,niaaa_legal_adult_per_capita_beer_consumed_gallons,ba_craft_beer_produced_gallons,ba_legal_adult_per_capita_craft_beer_produced_gallons
1,AL,Alabama,2011,3467668,4802740,0.722,0.101,0.127,0.128,0.143,0.127,0.14,0.484,0.516,0.488,0.07,0.124,0.027,0.291,0.173,0.309,0.296,0.139,0.084,0.52,0.068,0.004,0.408,0.137,1.05,167882.2,152835.4,34887,31760,41415,101246000,29.2,29202.0,0.01
2,AK,Alaska,2011,502699,722718,0.696,0.107,0.147,0.129,0.149,0.126,0.08,0.516,0.484,0.495,0.038,0.124,0.021,0.323,0.082,0.281,0.373,0.169,0.095,0.621,0.06,0.03,0.289,0.208,1.07,37870.6,34789.2,52415,48150,67825,14688320,29.22,4870317.0,9.69
4,AZ,Arizona,2011,4574939,6482505,0.704,0.1,0.134,0.127,0.13,0.117,0.143,0.498,0.502,0.477,0.056,0.126,0.02,0.321,0.143,0.246,0.345,0.171,0.095,0.533,0.067,0.003,0.397,0.176,0.16,227203.3,206128.2,35244,31975,46709,132997688,29.07,2141480.0,0.47
5,AR,Arkansas,2011,2103411,2937979,0.714,0.096,0.13,0.124,0.137,0.124,0.146,0.493,0.507,0.513,0.068,0.134,0.024,0.261,0.162,0.357,0.278,0.131,0.072,0.537,0.055,0.002,0.405,0.141,0.24,100449.5,91406.0,34180,31103,38758,51707608,24.58,126449.0,0.06
6,CA,California,2011,26698281,37691912,0.708,0.106,0.143,0.137,0.139,0.112,0.117,0.497,0.503,0.465,0.052,0.097,0.024,0.363,0.189,0.211,0.297,0.192,0.111,0.556,0.078,0.004,0.361,0.186,0.2,1713428.0,1504645.4,45509,39963,57287,643901979,24.12,62627626.0,2.35
8,CO,Colorado,2011,3677266,5116796,0.719,0.098,0.146,0.139,0.142,0.123,0.112,0.502,0.498,0.509,0.046,0.119,0.017,0.309,0.098,0.224,0.312,0.233,0.134,0.62,0.063,0.008,0.309,0.201,0.08,223873.9,197828.9,43732,38645,55387,110355503,30.01,36745974.0,9.99
9,CT,Connecticut,2011,2625845,3580709,0.731,0.093,0.12,0.13,0.16,0.129,0.144,0.487,0.513,0.484,0.062,0.107,0.016,0.331,0.109,0.277,0.252,0.205,0.157,0.606,0.072,0.003,0.319,0.179,0.19,226305.8,194389.7,62964,54084,65753,56930220,21.68,724532.0,0.28
10,DE,Delaware,2011,662152,907135,0.73,0.101,0.126,0.126,0.147,0.128,0.148,0.485,0.515,0.471,0.063,0.113,0.019,0.334,0.13,0.316,0.266,0.171,0.117,0.578,0.057,0.005,0.36,0.203,0.16,39760.6,35455.8,43781,39041,58814,22323999,33.71,4772698.0,7.21
11,DC,District of Columbia,2011,481567,617996,0.767,0.136,0.216,0.134,0.122,0.109,0.113,0.473,0.527,0.25,0.053,0.094,0.024,0.58,0.128,0.177,0.17,0.233,0.292,0.594,0.076,0.004,0.326,0.25,0.09,41361.1,35780.5,66950,57917,63124,14229000,29.55,87482.0,0.18
12,FL,Florida,2011,14308639,19057542,0.748,0.094,0.122,0.126,0.144,0.128,0.176,0.489,0.511,0.462,0.072,0.129,0.026,0.311,0.141,0.304,0.297,0.165,0.093,0.521,0.074,0.003,0.402,0.171,0.48,769798.4,699989.8,40433,36766,44299,401825171,28.08,2000461.0,0.14
