fips_code,state_id,state_name,year,niaaa_pop_21_plus,census_total_pop,census_percent_pop_21_plus,census_percent_pop_18_24,census_percent_pop_25_34,census_percent_pop_35_44,census_percent_pop_45_54,census_percent_pop_55_64,census_percent_pop_65_plus,census_percent_pop_male,census_percent_pop_female,census_percent_pop_married,census_percent_pop_widowed,census_percent_pop_divorced,census_percent_pop_separated,census_percent_pop_never_married,ed_census_percent_pop_less_hs,ed_census_percent_pop_only_hs,ed_census_percent_pop_some_college_or_assoc,ed_percent_pop_college_grad_only,ed_percent_pop_grad_prof_degree,census_percent_employed,census_percent_unemployed,census_percent_armed_forces_employment,census_percent_not_in_labor_force,brfss_drinking_culture_surrogate_metric_percent_binge,tpc_state_beer_tax_rates_dollar_gal,bea_personal_income_dollars,bea_disp_inc_dollars,bea_percapita_personal_income_dollars,bea_percapita_disp_inc_dollars,census_median_household_inc_dollars,niaaa_total_beer_vol_consumed_gallons,niaaa_legal_adult_per_capita_beer_consumed_gallons,ba_craft_beer_produced_gallons,ba_legal_adult_per_capita_craft_beer_produced_gallons
1,AL,Alabama,2010,3439923,4785298,0.7160,0.1020,0.1260,0.1300,0.1440,0.1240,0.1370,0.4850,0.5150,0.4820,0.0730,0.1260,0.0280,0.2920,0.1790,0.3130,0.2900,0.1390,0.0800,0.5230,0.0700,0.0040,0.4030,0.101,1.05,162068.8,148862.1,33849,31091,40474,101835000,29.6,,
2,AK,Alaska,2010,494781,713985,0.6920,0.1050,0.1450,0.1310,0.1570,0.1230,0.0750,0.5220,0.4780,0.4990,0.0380,0.1250,0.0210,0.3160,0.0900,0.2530,0.3780,0.1850,0.0940,0.6170,0.0660,0.0330,0.2840,0.206,1.07,35374.3,32703.9,49543,45803,64576,15476350,31.28,,
4,AZ,Arizona,2010,4496526,6413737,0.7020,0.0990,0.1340,0.1280,0.1320,0.1140,0.1380,0.4970,0.5030,0.4900,0.0540,0.1210,0.0180,0.3160,0.1440,0.2510,0.3470,0.1670,0.0920,0.5350,0.0720,0.0040,0.3900,0.14,0.16,216223.6,198815.2,33774,31055,46789,140015325,31.14,,
5,AR,Arkansas,2010,2082760,2921606,0.7100,0.1000,0.1260,0.1270,0.1390,0.1210,0.1440,0.4900,0.5100,0.5100,0.0720,0.1280,0.0260,0.2640,0.1710,0.3460,0.2890,0.1320,0.0630,0.5440,0.0580,0.0030,0.3960,0.097,0.24,94127,86387,32218,29569,38307,53429000,25.65,,
6,CA,California,2010,26311028,37349363,0.7040,0.1060,0.1430,0.1390,0.1400,0.1090,0.1140,0.4970,0.5030,0.4690,0.0510,0.0960,0.0230,0.3600,0.1930,0.2080,0.2980,0.1910,0.1100,0.5570,0.0820,0.0050,0.3570,0.158,0.2,1609997.5,1431825.6,43138,38364,57708,651673303,24.77,,
8,CO,Colorado,2010,3610748,5049071,0.7150,0.0980,0.1440,0.1390,0.1470,0.1200,0.1100,0.5010,0.4990,0.5120,0.0450,0.1180,0.0180,0.3070,0.1030,0.2280,0.3050,0.2340,0.1300,0.6190,0.0680,0.0080,0.3060,0.154,0.08,206053.4,184323.2,40827,36521,54046,110403491,30.58,,
9,CT,Connecticut,2010,2613558,3577073,0.7300,0.0920,0.1180,0.1350,0.1610,0.1240,0.1420,0.4860,0.5140,0.4850,0.0610,0.1090,0.0150,0.3300,0.1140,0.2820,0.2480,0.2020,0.1530,0.6070,0.0710,0.0030,0.3200,0.174,0.19,219801.3,191948.2,61392,53613,64032,57769898,22.1,,
10,DE,Delaware,2010,652404,899769,0.7210,0.1030,0.1230,0.1290,0.1480,0.1240,0.1440,0.4850,0.5150,0.4780,0.0650,0.1080,0.0200,0.3300,0.1230,0.3270,0.2720,0.1650,0.1130,0.5740,0.0590,0.0040,0.3640,0.188,0.16,36980.8,33422.1,41101,37146,55847,22364702,34.28,,
11,DC,District of Columbia,2010,468680,604453,0.7700,0.1430,0.2090,0.1350,0.1250,0.1060,0.1150,0.4730,0.5270,0.2530,0.0500,0.0970,0.0280,0.5730,0.1260,0.2030,0.1700,0.2320,0.2690,0.5800,0.0820,0.0050,0.3320,0.154,0.09,38212.4,33528.2,63182,55437,60903,14291000,30.49,,
12,FL,Florida,2010,14081826,18843326,0.7450,0.0940,0.1210,0.1290,0.1450,0.1250,0.1730,0.4890,0.5110,0.4710,0.0710,0.1310,0.0260,0.3020,0.1450,0.2990,0.2970,0.1660,0.0920,0.5200,0.0800,0.0040,0.3960,0.137,0.48,730690.1,672161.8,38778,35672,44409,394140084,27.99,,
13,GA,Georgia,2010,6786608,9712587,0.6960,0.1010,0.1360,0.1450,0.1430,0.1120,0.1070,0.4880,0.5120,0.4820,0.0550,0.1130,0.0250,0.3250,0.1570,0.2930,0.2770,0.1750,0.0980,0.5560,0.0800,0.0060,0.3580,0.124,1.01,337420.5,306298,34741,31536,46430,186527000,27.48,,
15,HI,Hawaii,2010,1006721,1363621,0.7370,0.0980,0.1330,0.1290,0.1430,0.1300,0.1450,0.5020,0.4980,0.4880,0.0640,0.1010,0.0150,0.3320,0.1010,0.2860,0.3180,0.1990,0.0960,0.5840,0.0510,0.0310,0.3340,0.179,0.93,56649.4,51879.6,41499,38005,63030,31403000,31.19,,
16,ID,Idaho,2010,1073441,1571450,0.6840,0.0980,0.1330,0.1230,0.1320,0.1150,0.1250,0.5010,0.4990,0.5620,0.0500,0.1200,0.0150,0.2530,0.1170,0.2860,0.3530,0.1670,0.0770,0.5740,0.0640,0.0020,0.3600,0.132,0.15,50201.9,46203.4,31950,29405,43490,30659000,28.56,,
17,IL,Illinois,2010,9168998,12843166,0.7130,0.0970,0.1380,0.1350,0.1450,0.1150,0.1260,0.4900,0.5100,0.4810,0.0610,0.1000,0.0180,0.3400,0.1310,0.2760,0.2850,0.1920,0.1150,0.5860,0.0760,0.0010,0.3370,0.178,0.23,540880.9,485767.9,42107,37816,52972,282720000,30.83,,
18,IN,Indiana,2010,4586653,6490621,0.7060,0.1010,0.1280,0.1290,0.1460,0.1190,0.1300,0.4930,0.5070,0.5070,0.0600,0.1230,0.0150,0.2960,0.1300,0.3600,0.2840,0.1460,0.0810,0.5720,0.0690,0.0010,0.3580,0.135,0.12,231025.6,210496.1,35590,32427,44613,119815993,26.12,,
19,IA,Iowa,2010,2182222,3049883,0.7150,0.1000,0.1260,0.1200,0.1440,0.1240,0.1490,0.4940,0.5060,0.5380,0.0650,0.1050,0.0130,0.2790,0.0940,0.3370,0.3190,0.1710,0.0790,0.6390,0.0460,0.0010,0.3140,0.169,0.19,116535.7,106224.6,38190,34811,47961,76632000,35.12,,
20,KS,Kansas,2010,2003312,2859169,0.7000,0.1020,0.1300,0.1220,0.1430,0.1160,0.1330,0.4960,0.5040,0.5260,0.0600,0.1160,0.0150,0.2830,0.1080,0.2780,0.3160,0.1930,0.1050,0.6200,0.0530,0.0060,0.3200,0.151,0.18,113843,103304,39822,36135,48257,57643348,28.77,,
